sale normalSale store ad discount discountSEK week
19 12.25 219 1 37.05 10.3 9
26 4.4 220 0 46.04 12.8 7
35 3.67 220 0 46.04 12.8 8
26 12.25 221 0 43.4 11.5 7
17 10.5 221 0 43.4 11.5 8
20 12.25 221 1 33.96 9 9
16 3.6 222 0 46.04 12.8 7
4 3.67 222 0 46.04 12.8 8
15 4.2 223 0 46.04 12.8 7
14 3.67 223 0 46.04 12.8 8
29 2.5 224 0 46.04 12.8 7
13 3.5 224 0 46.04 12.8 8
6 2.5 224 1 37.05 10.3 9
16 7 225 0 46.04 12.8 7
12 8 225 0 46.04 12.8 8
15 4.5 226 0 43.4 11.5 7
11 5 226 0 43.4 11.5 8
8 4.5 226 1 33.96 9 9
41 14 1 0 46.04 12.8 7
11 13.5 1 0 46.04 12.8 8
28 14 1 1 37.05 10.3 9
30 7.5 2 0 46.04 12.8 7
15 7 2 0 46.04 12.8 8
14 7.5 2 1 37.05 10.3 9
22 10 3 0 46.04 12.8 7
26 9.5 3 0 46.04 12.8 8
85 10 3 1 37.05 10.3 9
20 5.5 4 0 46.04 12.8 7
15 4 4 0 46.04 12.8 8
27 5.5 4 1 37.05 10.3 9
77 8.25 5 0 46.04 12.8 7
36 4.5 5 0 46.04 12.8 8
23 8.25 5 1 37.05 10.3 9
102 17 6 0 46.04 12.8 7
43 20.5 6 0 46.04 12.8 8
46 17 6 1 37.05 10.3 9
28 5.5 7 0 46.04 12.8 7
5 6.5 7 0 46.04 12.8 8
8 5.5 7 1 37.05 10.3 9
130 8 8 0 37.24 8.9 7
10 4.5 8 0 37.24 8.9 8
54 8 8 1 26.78 6.4 9
177 21 9 0 37.24 8.9 7
39 21 9 0 37.24 8.9 8
55 21 9 1 26.78 6.4 9
139 35.8 10 0 24.62 4.9 7
69 30.67 10 0 24.62 4.9 8
45 10.25 11 0 37.24 8.9 7
19 11.5 11 0 37.24 8.9 8
26 10.25 11 1 26.78 6.4 9
76 7.25 12 0 46.04 12.8 7
11 10 12 0 46.04 12.8 8
41 7.25 12 1 37.05 10.3 9
14 2.25 13 0 46.04 12.8 7
7 2.5 13 0 46.04 12.8 8
15 2.25 13 1 37.05 10.3 9
33 7.5 14 0 46.04 12.8 7
19 9.5 14 0 46.04 12.8 8
24 7.5 14 1 37.05 10.3 9
38 8.5 15 0 46.04 12.8 7
20 7 15 0 46.04 12.8 8
13 8.5 15 1 37.05 10.3 9
14 5 16 0 46.04 12.8 7
11 4 16 0 46.04 12.8 8
13 5 16 1 37.05 10.3 9
71 29 17 0 24.62 4.9 7
26 27.5 17 0 24.62 4.9 8
106 7.25 18 0 24.62 4.9 7
34 9 18 0 24.62 4.9 8
78 16 19 0 46.04 12.8 7
27 14.5 19 0 46.04 12.8 8
48 16 19 1 37.05 10.3 9
29 11.25 20 0 46.04 12.8 7
24 9 20 0 46.04 12.8 8
28 11.25 20 1 37.05 10.3 9
73 17.2 21 0 24.62 4.9 7
28 17.67 21 0 24.62 4.9 8
98 19.25 227 0 43.4 11.5 7
31 19 227 0 43.4 11.5 8
32 19.25 227 1 33.96 9 9
47 5.75 228 0 43.4 11.5 7
20 7 228 0 43.4 11.5 8
15 5.75 228 1 33.96 9 9
35 3 229 0 46.04 12.8 7
10 5 229 0 46.04 12.8 8
26 3 229 1 37.05 10.3 9
72 5.75 230 0 43.4 11.5 7
19 6 230 0 43.4 11.5 8
27 5.75 230 1 33.96 9 9
19 1.5 231 0 46.04 12.8 7
5 2.5 231 0 46.04 12.8 8
4 1.5 231 1 37.05 10.3 9
11 4.75 232 0 46.04 12.8 7
1 3.5 232 0 46.04 12.8 8
9 4.75 232 1 37.05 10.3 9
22 3 233 0 46.04 12.8 7
7 1.67 233 0 46.04 12.8 8
22 2.2 234 0 46.04 12.8 7
10 2.67 234 0 46.04 12.8 8
1 1.4 235 0 46.04 12.8 7
2 1 235 0 46.04 12.8 8
54 8.8 22 0 28.57 6 7
28 9.33 22 0 28.57 6 8
4 6.2 23 0 46.04 12.8 7
6 6.67 23 0 46.04 12.8 8
24 11.25 24 0 46.04 12.8 7
21 12.5 24 0 46.04 12.8 8
18 11.25 24 1 37.05 10.3 9
26 8.2 25 0 46.04 12.8 7
15 7.67 25 0 46.04 12.8 8
19 4.6 26 0 46.04 12.8 7
12 4.67 26 0 46.04 12.8 8
41 5.67 27 0 46.04 12.8 7
36 7 27 0 46.04 12.8 8
37 4.4 28 0 46.04 12.8 7
15 4.67 28 0 46.04 12.8 8
60 16.75 29 0 46.04 12.8 7
45 17.5 29 0 46.04 12.8 8
51 16.75 29 1 37.05 10.3 9
11 7.25 30 0 46.04 12.8 7
29 7 30 1 37.05 10.3 9
17 4.75 31 0 46.04 12.8 7
8 4 31 0 46.04 12.8 8
12 4.75 31 1 37.05 10.3 9
24 8 32 0 46.04 12.8 7
19 6 32 0 46.04 12.8 8
17 8 32 1 37.05 10.3 9
61 6.75 33 0 46.04 12.8 7
13 5 33 0 46.04 12.8 8
24 6.75 33 1 37.05 10.3 9
18 4.2 34 0 46.04 12.8 7
7 3.67 34 0 46.04 12.8 8
17 4 35 0 46.04 12.8 7
27 5.25 36 0 46.04 12.8 7
9 4 36 0 46.04 12.8 8
19 5.25 36 1 37.05 10.3 9
53 5.75 37 0 46.04 12.8 7
12 5 37 0 46.04 12.8 8
23 5.75 37 1 37.05 10.3 9
41 15 38 0 46.04 12.8 7
15 14 38 0 46.04 12.8 8
30 15 38 1 37.05 10.3 9
16 3.4 39 0 46.04 12.8 7
12 4.67 39 0 46.04 12.8 8
36 6.6 40 0 46.04 12.8 7
16 7.67 40 0 46.04 12.8 8
54 16.75 41 0 46.04 12.8 7
45 15.5 41 0 46.04 12.8 8
38 16.75 41 1 37.05 10.3 9
73 8.5 42 0 46.04 12.8 7
43 6 42 0 46.04 12.8 8
37 8.5 42 1 37.05 10.3 9
27 8.6 43 0 46.04 12.8 7
9 5.25 44 0 46.04 12.8 7
12 4 44 0 46.04 12.8 8
11 5.25 44 1 37.05 10.3 9
25 4.4 45 0 46.04 12.8 7
5 5.33 45 0 46.04 12.8 8
10 3.4 46 0 46.04 12.8 7
2 3 46 0 46.04 12.8 8
35 10.75 47 0 46.04 12.8 7
25 8.5 47 0 46.04 12.8 8
16 10.75 47 1 37.05 10.3 9
52 6.75 48 0 46.04 12.8 7
6 5.5 48 0 46.04 12.8 8
35 6.75 48 1 37.05 10.3 9
21 7.25 49 0 46.04 12.8 7
7 7.5 49 0 46.04 12.8 8
7 7.25 49 1 37.05 10.3 9
36 7.5 50 0 46.04 12.8 7
18 5 50 0 46.04 12.8 8
28 7.5 50 1 37.05 10.3 9
36 10 51 0 46.04 12.8 7
17 11.5 51 0 46.04 12.8 8
20 10 51 1 37.05 10.3 9
32 10 52 0 46.04 12.8 7
14 10.67 52 0 46.04 12.8 8
8 2 53 0 46.04 12.8 7
4 2.67 53 0 46.04 12.8 8
54 12.5 54 0 46.04 12.8 7
18 10 54 0 46.04 12.8 8
26 12.5 54 1 37.05 10.3 9
33 11.25 55 0 46.04 12.8 7
22 10.5 55 0 46.04 12.8 8
17 11.25 55 1 37.05 10.3 9
12 8.25 56 0 46.04 12.8 7
11 6 56 0 46.04 12.8 8
22 8.25 56 1 37.05 10.3 9
10 3.8 57 0 46.04 12.8 7
65 11.5 58 0 46.04 12.8 7
10 9.5 58 0 46.04 12.8 8
33 11.5 58 1 37.05 10.3 9
13 2 59 0 46.04 12.8 7
10 2.5 59 0 46.04 12.8 8
12 2 59 1 37.05 10.3 9
20 4.25 60 0 46.04 12.8 7
12 3.5 60 0 46.04 12.8 8
8 4.25 60 1 37.05 10.3 9
2 2.8 61 0 46.04 12.8 7
4 2.67 61 0 46.04 12.8 8
29 11 62 0 46.04 12.8 7
24 9.5 62 0 46.04 12.8 8
22 11 62 1 37.05 10.3 9
41 7.5 63 0 39.76 9.9 7
10 4.5 63 0 39.76 9.9 8
26 7.5 63 1 29.72 7.4 9
200 52 64 0 24.62 4.9 7
16 4.4 65 0 46.04 12.8 7
10 5.33 65 0 46.04 12.8 8
19 5.8 66 0 46.04 12.8 7
12 4.67 66 0 46.04 12.8 8
12 3.4 67 0 46.04 12.8 7
13 4 67 0 46.04 12.8 8
13 3.4 68 0 46.04 12.8 7
11 4.33 68 0 46.04 12.8 8
10 6 69 0 46.04 12.8 7
11 6.67 69 0 46.04 12.8 8
8 5.4 70 0 46.04 12.8 7
3 6.67 70 0 46.04 12.8 8
27 6.2 71 0 46.04 12.8 7
15 5.33 71 0 46.04 12.8 8
27 12.5 72 0 46.04 12.8 7
16 8 72 0 46.04 12.8 8
21 12.5 72 1 37.05 10.3 9
8 1.4 73 0 46.04 12.8 7
15 1.33 73 0 46.04 12.8 8
23 1.25 74 0 46.04 12.8 7
5 2 74 0 46.04 12.8 8
15 1.25 74 1 37.05 10.3 9
31 12.75 75 0 46.04 12.8 7
14 11 75 0 46.04 12.8 8
31 12.75 75 1 37.05 10.3 9
10 4.6 76 0 46.04 12.8 7
10 4.67 76 0 46.04 12.8 8
9 7.8 77 0 46.04 12.8 7
9 7.75 78 0 46.04 12.8 7
11 6.5 78 0 46.04 12.8 8
5 7.75 78 1 37.05 10.3 9
4 0.67 79 0 46.04 12.8 8
38 10.25 80 0 46.04 12.8 7
9 12.5 80 0 46.04 12.8 8
20 10.25 80 1 37.05 10.3 9
52 7.75 81 0 46.04 12.8 7
21 7.5 81 0 46.04 12.8 8
13 7.75 81 1 37.05 10.3 9
26 6.5 82 0 46.04 12.8 7
27 7 82 0 46.04 12.8 8
3 6.5 82 1 37.05 10.3 9
39 13 84 0 46.04 12.8 7
23 11.5 84 0 46.04 12.8 8
16 13 84 1 37.05 10.3 9
57 16.25 85 0 46.04 12.8 7
38 16.5 85 0 46.04 12.8 8
